,Hobi,Pelajaran_Suka,Metode_belajar,Rekomendasi
0,0,4,1,0
1,0,0,1,2
2,0,8,0,2
3,1,13,2,1
4,1,17,2,1
5,1,13,2,1
6,2,4,1,0
7,2,13,2,1
8,2,17,2,1
9,2,13,2,1
10,2,13,2,1
11,2,13,0,2
12,2,13,1,2
13,2,6,2,2
14,2,6,0,2
15,2,6,3,2
16,2,6,2,2
17,2,6,2,2
18,2,8,0,2
19,2,13,0,2
20,2,8,0,2
21,2,13,1,2
22,2,8,1,2
23,2,14,2,2
24,2,11,2,1
25,2,13,2,1
26,2,13,2,1
27,2,3,0,2
28,2,13,0,2
29,2,13,1,0
30,2,19,1,0
31,2,19,4,0
32,2,13,2,1
33,2,19,1,0
34,2,18,2,1
35,3,5,1,2
36,4,6,1,0
37,5,13,2,1
38,6,19,1,0
39,8,3,1,0
40,9,19,1,0
41,9,19,0,0
42,9,16,1,0
43,9,19,1,0
44,9,1,1,0
45,9,4,1,0
46,9,13,0,1
47,9,10,1,1
48,9,13,0,1
49,9,13,2,1
50,9,13,2,1
51,9,13,2,1
52,9,13,1,1
53,9,13,2,1
54,9,13,2,1
55,9,13,2,1
56,9,13,2,1
57,9,13,2,1
58,9,13,2,1
59,9,13,2,1
60,9,13,2,1
61,9,13,2,1
62,9,13,1,1
63,9,13,2,1
64,9,13,1,1
65,9,13,0,1
66,9,13,2,1
67,9,8,2,1
68,9,13,0,1
69,9,13,2,1
70,9,13,1,1
71,9,5,2,1
72,9,13,2,1
73,9,13,1,1
74,9,19,0,2
75,9,13,2,2
76,9,8,0,2
77,9,2,0,2
78,9,6,0,2
79,9,6,0,2
80,9,8,0,2
81,9,6,0,2
82,10,13,1,1
83,10,13,2,1
84,10,13,0,1
85,10,13,1,1
86,10,8,0,2
87,11,20,1,0
88,7,15,2,1
89,12,15,1,1
90,20,10,0,2
91,12,12,2,2
92,13,7,2,0
93,13,6,0,2
94,13,0,2,0
95,13,15,1,1
96,13,5,2,2
97,13,2,0,2
98,13,6,2,2
99,13,7,0,2
100,14,17,2,1
101,14,11,2,1
102,14,16,2,2
103,14,9,2,2
104,14,0,2,2
105,22,6,2,1
106,15,7,2,2
107,21,17,2,1
108,21,6,1,1
109,16,12,5,2
110,16,6,1,2
111,23,13,1,0
112,23,0,2,0
113,24,0,1,0
114,17,7,1,0
115,24,13,0,1
116,17,13,0,1
117,24,0,2,1
118,24,17,2,1
119,17,11,5,1
120,17,9,2,1
121,17,9,2,1
122,17,15,2,1
123,24,3,0,2
124,24,5,2,2
125,18,6,1,1
126,19,13,2,1
